county,month,covid,retail
DOLORES,4/1/2021,2749.3,#N/A
DOLORES,5/1/2021,10505.9,#N/A
DOLORES,6/1/2021,6284.1,#N/A
DOUGLAS,3/1/2020,204.7,#N/A
DOUGLAS,4/1/2020,727.1,#N/A
DOUGLAS,5/1/2020,495,#N/A
DOUGLAS,6/1/2020,405.5,#N/A
DOUGLAS,7/1/2020,1283.4,#N/A
DOUGLAS,8/1/2020,885.1,#N/A
DOUGLAS,9/1/2020,1247.1,#N/A
DOUGLAS,10/1/2020,3172.6,#N/A
DOUGLAS,11/1/2020,13171,#N/A
DOUGLAS,12/1/2020,10662.7,#N/A
DOUGLAS,1/1/2021,6462.5,#N/A
DOUGLAS,2/1/2021,4712.3,#N/A
DOUGLAS,3/1/2021,4636.7,#N/A
DOUGLAS,4/1/2021,7494.3,#N/A
DOUGLAS,5/1/2021,3841.9,#N/A
DOUGLAS,6/1/2021,1091,#N/A
EAGLE,3/1/2020,2425.8,#N/A
EAGLE,4/1/2020,4187.4,#N/A
EAGLE,5/1/2020,917.1,#N/A
EAGLE,6/1/2020,1227.3,#N/A
EAGLE,7/1/2020,3925.9,#N/A
EAGLE,8/1/2020,2253.6,#N/A
EAGLE,9/1/2020,1098.5,#N/A
EAGLE,10/1/2020,2837.9,#N/A
EAGLE,11/1/2020,10966.1,#N/A
EAGLE,12/1/2020,12466.2,#N/A
EAGLE,1/1/2021,13710,#N/A
EAGLE,2/1/2021,8300.5,#N/A
EAGLE,3/1/2021,8431.1,#N/A
EAGLE,4/1/2021,6159.3,#N/A
EAGLE,5/1/2021,1578,#N/A
EAGLE,6/1/2021,388.6,#N/A
EL PASO,3/1/2020,191.6,#N/A
EL PASO,4/1/2020,629.7,#N/A
EL PASO,5/1/2020,651,#N/A
EL PASO,6/1/2020,565.9,#N/A
EL PASO,7/1/2020,1928.4,#N/A
EL PASO,8/1/2020,1582.3,#N/A
EL PASO,9/1/2020,969.7,#N/A
EL PASO,10/1/2020,3381.5,#N/A
